raw_name,normalized_name
Grape Base 60704104,grapebase60704104
Green Tea Flavor,greenteaflavor
Guava Flavor 10717400,guavaflavor10717400
GumFlavor,gumflavor
H2,h2
H2Omega,h2omega
HAP,hap
HI-레드1,hi-레드1
HK 나토배양물(기능성원료인정제2009-50호),hk나토배양물(기능성원료인정제2009-50호)
HK-2446,hk-2446
HK표고버섯균사체(기능성원료인정제2010-35호),hk표고버섯균사체(기능성원료인정제2010-35호)
HL-14438,hl-14438
HOP FLAVOR 10806700,hopflavor10806700
HOP FLAVOR 10806700			&lt,hopflavor10806700lt
HPMC-P,hpmc-p
Haematococcus pluvialis,haematococcuspluvialis
Haematococcus pluvialis추출물,haematococcuspluvialis추출물
Hazelnut,hazelnut
Hazelnut Flavor 10802100,hazelnutflavor10802100
Hazelnut Flavor 10810000,hazelnutflavor10810000
Hazelnut Flavor 10902100,hazelnutflavor10902100
Heliotropin,heliotropin
Hexanoic acid,hexanoicacid
Hexyl acetate,hexylacetate
Hexyl alcohol,hexylalcohol
Highbush-cranberry열매,highbush-cranberry열매
Honey Flavor 10805600,honeyflavor10805600
Honey Flavor 11901100,honeyflavor11901100
Hop tree열매,hoptree열매
I G,ig
I.M.P,imp
III,iii
IMP(5-이노신산이나트륨),imp(5-이노신산이나트륨)
IPP,ipp
IRON OXIDE YELLOW,ironoxideyellow
ISOAMYL ACETATE,isoamylacetate
ISOBUTANOL,isobutanol
Ice-plant,ice-plant
Ice-plant발효추출액,ice-plant발효추출액
Ice-plant줄기,ice-plant줄기
Ice-plant추출액,ice-plant추출액
Indian barberry열매,indianbarberry열매
Ionone,ionone
Isaomyl acetate,isaomylacetate
Isoamyl Alcohol,isoamylalcohol
Isoamyl butyrate,isoamylbutyrate
Isoamyl isovalerate,isoamylisovalerate
Isobutyl acetate,isobutylacetate
JASMIN ABSOLUTE (FEMA 2598),jasminabsolute(fema2598)
Jaboticabas분말,jaboticabas분말
Jaboticabas열매,jaboticabas열매
Jicama덩이뿌리,jicama덩이뿌리
K-100,k-100
KMU,kmu
KOH,koh
KP-2000,kp-2000
KRS-3,krs-3
KS베이스,ks베이스
Kadsura coccinea열매,kadsuracoccinea열매
Khorasan wheat씨앗,khorasanwheat씨앗
Kluyveromyces marxianus,kluyveromycesmarxianus
Kokuto Caramel 61102101,kokutocaramel61102101
K씨즈닝10,k씨즈닝10
L - 글루타민산 나트륨,l-글루타민산나트륨
L - 글루타민산낱트륨,l-글루타민산낱트륨
L- 멘틸락테이트,l-멘틸락테이트
L- 시스틴,l-시스틴
L- 아르기닌,l-아르기닌
L- 카르니틴,l-카르니틴
L-5,l-5
L-ARGININE MONOHYDROCHLORIDE,l-argininemonohydrochloride
L-GLUTAMIC ACID HYDROCHLORIDE,l-glutamicacidhydrochloride
L-글루타민,l-글루타민
L-글루타민(고시형),l-글루타민(고시형)
L-글루타민나트륨제제,l-글루타민나트륨제제
L-글루타민산,l-글루타민산
L-글루타민산 2초산 4나트륨,l-글루타민산2초산4나트륨
L-글루타민산 유래 GABA 함유 분말(기능성원료인정제2009-1호),l-글루타민산유래gaba함유분말(기능성원료인정제2009-1호)
L-글루타민산나트륨재제,l-글루타민산나트륨재제
L-글루타민산나트륨제재,l-글루타민산나트륨제재
L-글루타민산나트륨제제,l-글루타민산나트륨제제
L-글루타민신나트륨,l-글루타민신나트륨
L-글루탄민산나트륨,l-글루탄민산나트륨
L-글루탐산,l-글루탐산
L-글루탐산나트륨,l-글루탐산나트륨
L-글루탐산나트륨제제,l-글루탐산나트륨제제
L-글루탐산칼륨,l-글루탐산칼륨
L-라이신,l-라이신
L-라이신염산염,l-라이신염산염
L-로이신,l-로이신
L-메티오닌,l-메티오닌
L-멘톨,l-멘톨
L-바린,l-바린
L-발린,l-발린
L-세린,l-세린
L-시스테인(고시형),l-시스테인(고시형)
L-시스테인염산염,l-시스테인염산염
L-아르기닌(기능성원료인정제2015-19호),l-아르기닌(기능성원료인정제2015-19호)
L-아르지닌,l-아르지닌
L-아르코르빈산나트륨,l-아르코르빈산나트륨
L-아스코르브산나트륨,l-아스코르브산나트륨
L-아스코르빈산나트륨,l-아스코르빈산나트륨
L-아스코브산나트륨,l-아스코브산나트륨
L-아스코브산나트륨(고시형),l-아스코브산나트륨(고시형)
L-아스코브산칼슘,l-아스코브산칼슘
L-아스코브산칼슘(고시형),l-아스코브산칼슘(고시형)
L-아스코빌팔미테이트,l-아스코빌팔미테이트
L-아스파라긴,l-아스파라긴
L-아스파라진,l-아스파라진
L-아스파르트산,l-아스파르트산
L-아스파트산,l-아스파트산
L-알라닌,l-알라닌
L-이소로이신,l-이소로이신
L-젖산마그네슘,l-젖산마그네슘
L-주석산,l-주석산
L-주석산나트륨,l-주석산나트륨
L-주석산수소칼륨,l-주석산수소칼륨
L-카본,l-카본
L-클루다민산나트륨,l-클루다민산나트륨
L-클루타민산나트륨제제,l-클루타민산나트륨제제
L-테아닌(고시형),l-테아닌(고시형)
L-트레오닌,l-트레오닌
L-트립토판,l-트립토판
L-티로신,l-티로신
L-페닐알라닌,l-페닐알라닌
L-프롤린,l-프롤린
L-히스티딘,l-히스티딘
L-히스티딘염산염,l-히스티딘염산염
LA갈비,la갈비
LIMESTONE,limestone
L_글루타민산,l글루타민산
Lac color,laccolor
Lacticaseibacillus casei,lacticaseibacilluscasei
Lacticaseibacillus casei(고시형),lacticaseibacilluscasei(고시형)
Lacticaseibacillus paracasei,lacticaseibacillusparacasei
Lacticaseibacillus paracasei(고시형),lacticaseibacillusparacasei(고시형)
Lacticaseibacillus rhamnosus,lacticaseibacillusrhamnosus
Lacticaseibacillus rhamnosus(고시형),lacticaseibacillusrhamnosus(고시형)
Lactiplantibacillus pentosus,lactiplantibacilluspentosus
Lactiplantibacillus plantarum,lactiplantibacillusplantarum
Lactiplantibacillus plantarum(고시형),lactiplantibacillusplantarum(고시형)
Lactiplantibacillus plantarum발효액,lactiplantibacillusplantarum발효액
Lactobacillus Plantarum,lactobacillusplantarum
Lactobacillus acidophillus,lactobacillusacidophillus
Lactobacillus acidophilus,lactobacillusacidophilus
Lactobacillus acidophilus(고시형),lactobacillusacidophilus(고시형)
Lactobacillus acidophilus발효농축,lactobacillusacidophilus발효농축
Lactobacillus acidophilus발효분말,lactobacillusacidophilus발효분말
Lactobacillus brevis,lactobacillusbrevis
Lactobacillus bulgaricus,lactobacillusbulgaricus
Lactobacillus bulgaricus(고시형),lactobacillusbulgaricus(고시형)
Lactobacillus casei,lactobacilluscasei
Lactobacillus casei(고시형),lactobacilluscasei(고시형)
Lactobacillus crispatus,lactobacilluscrispatus
Lactobacillus curvatus,lactobacilluscurvatus
